Original Molecule,Similar Molecules Above Threshold
CHEMBL1760333,CHEMBL1760338:0.7380952380952381; CHEMBL1760349:0.6363636363636364; CHEMBL1760332:0.7052631578947368; CHEMBL1760210:0.6
CHEMBL1760335,CHEMBL1760200:0.6585365853658537; CHEMBL1760338:0.627906976744186; CHEMBL1760336:0.6511627906976745; CHEMBL1760337:0.6746987951807228; CHEMBL1760198:0.625; CHEMBL1760209:0.6111111111111112; CHEMBL1760210:0.6428571428571429; CHEMBL1760212:0.6067415730337079; CHEMBL1760213:0.6744186046511628; CHEMBL1760214:0.6352941176470588
CHEMBL1760210,CHEMBL1760200:0.8108108108108109; CHEMBL1760338:0.8157894736842105; CHEMBL1760333:0.6; CHEMBL1760335:0.6428571428571429; CHEMBL1760336:0.7073170731707317; CHEMBL1760337:0.8266666666666667; CHEMBL1760198:0.7848101265822784; CHEMBL1760209:0.7654320987654321; CHEMBL1760212:0.7848101265822784; CHEMBL1760213:0.6136363636363636; CHEMBL1760214:0.6506024096385542
CHEMBL3421995,CHEMBL3421994:0.6590909090909091; CHEMBL3421993:0.6179775280898876; CHEMBL3421992:0.686046511627907; CHEMBL3421991:0.6904761904761905; CHEMBL3421990:0.6904761904761905; CHEMBL3421989:0.7073170731707317; CHEMBL3421984:0.6746987951807228; CHEMBL3421983:0.6790123456790124
CHEMBL3421988,CHEMBL3421987:0.6708860759493671; CHEMBL3421986:0.6046511627906976; CHEMBL3421984:0.6341463414634146
CHEMBL3421987,CHEMBL3421990:0.6024096385542169; CHEMBL3421988:0.6708860759493671; CHEMBL3421985:0.625; CHEMBL3421983:0.6493506493506493
CHEMBL3421984,CHEMBL3421995:0.6746987951807228; CHEMBL3421994:0.6547619047619048; CHEMBL3421993:0.691358024691358; CHEMBL3421992:0.8648648648648649; CHEMBL3421991:0.6875; CHEMBL3421990:0.6875; CHEMBL3421989:0.7051282051282052; CHEMBL3421988:0.6341463414634146; CHEMBL3421986:0.7435897435897436; CHEMBL3421985:0.6296296296296297; CHEMBL3421983:0.7432432432432432
CHEMBL3422008,CHEMBL3422010:0.7241379310344828; CHEMBL3422015:0.6526315789473685; CHEMBL3422018:0.6413043478260869; CHEMBL4108623:0.6082474226804123; CHEMBL4108578:0.6888888888888889; CHEMBL4115030:0.6666666666666666; CHEMBL3422017:0.6413043478260869; CHEMBL3422007:0.735632183908046; CHEMBL4114218:0.6888888888888889; CHEMBL3422011:0.7241379310344828; CHEMBL3422013:0.6666666666666666; CHEMBL3422014:0.6739130434782609; CHEMBL3422016:0.6593406593406593; CHEMBL4112270:0.7; CHEMBL4111118:0.6595744680851063; CHEMBL4112531:0.6458333333333334; CHEMBL4110178:0.6344086021505376; CHEMBL4112613:0.6521739130434783; CHEMBL4111525:0.6082474226804123; CHEMBL4110064:0.6344086021505376
CHEMBL3648196,CHEMBL3648199:0.6847826086956522; CHEMBL3648200:0.6019417475728155; CHEMBL3648201:0.6116504854368932; CHEMBL3648202:0.6595744680851063; CHEMBL3648203:0.6813186813186813; CHEMBL3648215:0.6458333333333334; CHEMBL3648217:0.6176470588235294
CHEMBL3680178,CHEMBL3680179:0.7171717171717171; CHEMBL3680181:0.8202247191011236; CHEMBL3680182:0.7311827956989247; CHEMBL3680184:0.776595744680851; CHEMBL3680185:0.6826923076923077; CHEMBL3680186:0.6574074074074074; CHEMBL3680187:0.6826923076923077; CHEMBL3680188:0.6698113207547169; CHEMBL3680189:0.7029702970297029; CHEMBL3680190:0.7029702970297029; CHEMBL3680192:0.6792452830188679; CHEMBL3680195:0.6635514018691588; CHEMBL3680196:0.6826923076923077
CHEMBL3680187,CHEMBL3680178:0.6826923076923077; CHEMBL3680179:0.6574074074074074; CHEMBL3680180:0.6442307692307693; CHEMBL3680181:0.71; CHEMBL3680182:0.6831683168316832; CHEMBL3680184:0.6923076923076923; CHEMBL3680185:0.6727272727272727; CHEMBL3680186:0.7570093457943925; CHEMBL3680188:0.6607142857142857; CHEMBL3680189:0.6915887850467289; CHEMBL3680190:0.6915887850467289; CHEMBL3680192:0.6548672566371682; CHEMBL3680195:0.780952380952381; CHEMBL3680196:0.6727272727272727; CHEMBL3680199:0.6
CHEMBL3680192,CHEMBL3680178:0.6792452830188679; CHEMBL3680179:0.6396396396396397; CHEMBL3680181:0.6893203883495146; CHEMBL3680182:0.6476190476190476; CHEMBL3680184:0.6574074074074074; CHEMBL3680185:0.8155339805825242; CHEMBL3680186:0.7850467289719626; CHEMBL3680187:0.6548672566371682; CHEMBL3680188:0.8; CHEMBL3680189:0.84; CHEMBL3680190:0.84; CHEMBL3680195:0.6666666666666666; CHEMBL3680196:0.7314814814814815; CHEMBL3680209:0.6101694915254238
CHEMBL3680195,CHEMBL3680178:0.6635514018691588; CHEMBL3680179:0.6396396396396397; CHEMBL3680181:0.6893203883495146; CHEMBL3680182:0.6476190476190476; CHEMBL3680184:0.6574074074074074; CHEMBL3680185:0.6846846846846847; CHEMBL3680186:0.7363636363636363; CHEMBL3680187:0.780952380952381; CHEMBL3680188:0.672566371681416; CHEMBL3680189:0.7037037037037037; CHEMBL3680190:0.7037037037037037; CHEMBL3680191:0.6422018348623854; CHEMBL3680192:0.6666666666666666; CHEMBL3680196:0.6696428571428571
CHEMBL4108131,CHEMBL4110994:0.7619047619047619; CHEMBL4108328:0.7476635514018691; CHEMBL4109981:0.7545454545454545; CHEMBL4108048:0.7476635514018691; CHEMBL4106959:0.7980769230769231; CHEMBL3921770:0.7619047619047619; CHEMBL3904868:0.7476635514018691; CHEMBL3928364:0.7545454545454545; CHEMBL3928874:0.7476635514018691; CHEMBL3912790:1.0; CHEMBL3927694:0.7980769230769231; CHEMBL4108064:0.7407407407407407; CHEMBL3943287:0.7407407407407407; CHEMBL3912773:0.8173076923076923; CHEMBL4109299:0.8173076923076923; CHEMBL3928681:0.6016949152542372; CHEMBL3938471:0.7476635514018691; CHEMBL4113215:0.6016949152542372; CHEMBL3922783:0.6068376068376068; CHEMBL3985128:0.7547169811320755; CHEMBL4110450:0.6068376068376068; CHEMBL3890471:0.7264150943396226; CHEMBL3944374:0.7307692307692307; CHEMBL3970478:0.6697247706422018; CHEMBL3945552:0.6605504587155964; CHEMBL3950819:0.6495726495726496; CHEMBL3982917:0.6347826086956522; CHEMBL3898211:0.6134453781512605; CHEMBL3903836:0.6065573770491803; CHEMBL3928796:0.6173913043478261; CHEMBL3904320:0.6016949152542372; CHEMBL3905385:0.6521739130434783; CHEMBL3976147:0.6460176991150443; CHEMBL3935853:0.6153846153846154; CHEMBL3954483:0.6083333333333333; CHEMBL3963412:0.6194690265486725; CHEMBL3897339:0.603448275862069; CHEMBL3910487:0.6324786324786325; CHEMBL3972535:0.6347826086956522; CHEMBL3895968:0.7924528301886793; CHEMBL3956132:0.7980769230769231; CHEMBL3949250:0.6016949152542372; CHEMBL3966518:0.7029702970297029; CHEMBL3955673:0.6893203883495146; CHEMBL3966669:0.6396396396396397; CHEMBL3985905:0.6635514018691588; CHEMBL3975174:0.6574074074074074; CHEMBL3949252:0.6513761467889908; CHEMBL4112847:0.6339285714285714; CHEMBL3914687:0.6981132075471698; CHEMBL3924432:0.6851851851851852; CHEMBL3927793:0.6454545454545455; CHEMBL3918999:0.6574074074074074; CHEMBL3946816:0.6513761467889908; CHEMBL3961077:0.6068376068376068; CHEMBL3942210:0.6283185840707964; CHEMBL3905215:0.6574074074074074; CHEMBL3933229:0.6239316239316239; CHEMBL3981870:0.6576576576576577; CHEMBL3920077:0.631578947368421; CHEMBL3893276:0.6016949152542372; CHEMBL3908670:0.7339449541284404; CHEMBL3937693:0.7843137254901961; CHEMBL3961600:0.7570093457943925; CHEMBL3902998:0.6283185840707964; CHEMBL3930976:0.6517857142857143; CHEMBL3944874:0.6101694915254238; CHEMBL3959922:0.6016949152542372; CHEMBL3932428:0.631578947368421; CHEMBL3954617:0.6460176991150443; CHEMBL3951326:0.6; CHEMBL3975390:0.6050420168067226; CHEMBL3946054:0.6605504587155964; CHEMBL3961085:0.631578947368421; CHEMBL3986148:0.7476635514018691
CHEMBL4106959,CHEMBL4110994:0.7383177570093458; CHEMBL4108328:0.7247706422018348; CHEMBL4109981:0.7321428571428571; CHEMBL4108048:0.7247706422018348; CHEMBL4108131:0.7980769230769231; CHEMBL3921770:0.7383177570093458; CHEMBL3904868:0.7247706422018348; CHEMBL3928364:0.7321428571428571; CHEMBL3928874:0.7247706422018348; CHEMBL3912790:0.7980769230769231; CHEMBL3927694:1.0; CHEMBL4108064:0.7181818181818181; CHEMBL3943287:0.7181818181818181; CHEMBL3912773:0.7757009345794392; CHEMBL4109299:0.7757009345794392; CHEMBL3968022:0.7476635514018691; CHEMBL3938471:0.6068376068376068; CHEMBL3969252:0.7476635514018691; CHEMBL3890471:0.6880733944954128; CHEMBL3944374:0.7075471698113207; CHEMBL3970478:0.6486486486486487; CHEMBL3945552:0.6396396396396397; CHEMBL3950819:0.6166666666666667; CHEMBL3982917:0.6153846153846154; CHEMBL3905385:0.6186440677966102; CHEMBL3976147:0.6260869565217392; CHEMBL3963412:0.6; CHEMBL3910487:0.794392523364486; CHEMBL3972535:0.8; CHEMBL3895968:0.6324786324786325; CHEMBL3956132:0.6347826086956522; CHEMBL3966518:0.696078431372549; CHEMBL3955673:0.6826923076923077; CHEMBL3966669:0.6339285714285714; CHEMBL3985905:0.6574074074074074; CHEMBL3975174:0.6513761467889908; CHEMBL3949252:0.6454545454545455; CHEMBL4112847:0.6283185840707964; CHEMBL3914687:0.6915887850467289; CHEMBL3924432:0.6788990825688074; CHEMBL3927793:0.6396396396396397; CHEMBL3918999:0.6513761467889908; CHEMBL3946816:0.6454545454545455; CHEMBL3961077:0.6016949152542372; CHEMBL3942210:0.6228070175438597; CHEMBL3905215:0.6513761467889908; CHEMBL3933229:0.6050420168067226; CHEMBL3981870:0.6371681415929203; CHEMBL3920077:0.6120689655172413; CHEMBL3908670:0.7117117117117117; CHEMBL3937693:0.7596153846153846; CHEMBL3961600:0.7181818181818181; CHEMBL3902998:0.6086956521739131; CHEMBL3930976:0.631578947368421; CHEMBL3932428:0.6120689655172413; CHEMBL3954617:0.6260869565217392; CHEMBL3946054:0.6396396396396397; CHEMBL3961085:0.6120689655172413; CHEMBL3986148:0.7247706422018348
CHEMBL3928364,CHEMBL4110994:0.7454545454545455; CHEMBL4108328:0.6869565217391305; CHEMBL4109981:1.0; CHEMBL4108048:0.6869565217391305; CHEMBL4108131:0.7545454545454545; CHEMBL4106959:0.7321428571428571; CHEMBL3921770:0.7454545454545455; CHEMBL3904868:0.6869565217391305; CHEMBL3928874:0.6869565217391305; CHEMBL3912790:0.7545454545454545; CHEMBL3927694:0.7321428571428571; CHEMBL4108064:0.6810344827586207; CHEMBL3943287:0.6810344827586207; CHEMBL3912773:0.7657657657657657; CHEMBL4109299:0.7657657657657657; CHEMBL3890471:0.6814159292035398; CHEMBL3944374:0.6696428571428571; CHEMBL3970478:0.6153846153846154; CHEMBL3945552:0.6068376068376068; CHEMBL3950819:0.6260162601626016; CHEMBL3903836:0.8125; CHEMBL3905385:0.628099173553719; CHEMBL3976147:0.6083333333333333; CHEMBL3954483:0.8181818181818182; CHEMBL3895968:0.6147540983606558; CHEMBL3956132:0.6166666666666667; CHEMBL3966518:0.6574074074074074; CHEMBL3955673:0.6454545454545455; CHEMBL3966669:0.6016949152542372; CHEMBL3985905:0.6228070175438597; CHEMBL3975174:0.6173913043478261; CHEMBL3949252:0.6120689655172413; CHEMBL3914687:0.6548672566371682; CHEMBL3924432:0.6434782608695652; CHEMBL3927793:0.6068376068376068; CHEMBL3918999:0.6173913043478261; CHEMBL3946816:0.6120689655172413; CHEMBL3905215:0.6173913043478261; CHEMBL3981870:0.6186440677966102; CHEMBL3908670:0.6752136752136753; CHEMBL3937693:0.7181818181818181; CHEMBL3961600:0.6810344827586207; CHEMBL3930976:0.6134453781512605; CHEMBL3954617:0.6083333333333333; CHEMBL3946054:0.6068376068376068; CHEMBL3986148:0.6869565217391305
CHEMBL4109299,CHEMBL4110994:0.7904761904761904; CHEMBL4108328:0.7924528301886793; CHEMBL4109981:0.7657657657657657; CHEMBL4108048:0.7924528301886793; CHEMBL4108131:0.8173076923076923; CHEMBL4106959:0.7757009345794392; CHEMBL3921770:0.7904761904761904; CHEMBL3904868:0.7924528301886793; CHEMBL3928364:0.7657657657657657; CHEMBL3928874:0.7924528301886793; CHEMBL3912790:0.8173076923076923; CHEMBL3927694:0.7757009345794392; CHEMBL4108064:0.7850467289719626; CHEMBL3943287:0.7850467289719626; CHEMBL3912773:1.0; CHEMBL3928681:0.7454545454545455; CHEMBL3938471:0.6101694915254238; CHEMBL4113215:0.7454545454545455; CHEMBL3922783:0.7522935779816514; CHEMBL3985128:0.6153846153846154; CHEMBL4110450:0.7522935779816514; CHEMBL3890471:0.8979591836734694; CHEMBL3944374:0.7766990291262136; CHEMBL3970478:0.7129629629629629; CHEMBL3945552:0.7037037037037037; CHEMBL3950819:0.7981651376146789; CHEMBL3982917:0.6754385964912281; CHEMBL3937691:0.625; CHEMBL3903836:0.6178861788617886; CHEMBL3928796:0.6578947368421053; CHEMBL3904320:0.6410256410256411; CHEMBL3905385:0.8037383177570093; CHEMBL3976147:0.6875; CHEMBL3914369:0.6271186440677966; CHEMBL3954483:0.6198347107438017; CHEMBL3963412:0.6607142857142857; CHEMBL3897339:0.6434782608695652; CHEMBL3910487:0.6166666666666667; CHEMBL3972535:0.6186440677966102; CHEMBL3904926:0.6302521008403361; CHEMBL3967237:0.6324786324786325; CHEMBL3895968:0.6495726495726496; CHEMBL3956132:0.6521739130434783; CHEMBL3950885:0.6302521008403361; CHEMBL3949250:0.6410256410256411; CHEMBL3966518:0.6826923076923077; CHEMBL3895212:0.6198347107438017; CHEMBL3955673:0.6698113207547169; CHEMBL3966669:0.6228070175438597; CHEMBL3985905:0.6454545454545455; CHEMBL3975174:0.6396396396396397; CHEMBL3949252:0.6339285714285714; CHEMBL4112847:0.6173913043478261; CHEMBL3914687:0.6788990825688074; CHEMBL3924432:0.6666666666666666; CHEMBL3927793:0.6283185840707964; CHEMBL3918999:0.6396396396396397; CHEMBL3946816:0.6339285714285714; CHEMBL3942210:0.6120689655172413; CHEMBL3905215:0.6396396396396397; CHEMBL3933229:0.6083333333333333; CHEMBL3981870:0.6403508771929824; CHEMBL3920077:0.6016949152542372; CHEMBL3908670:0.7777777777777778; CHEMBL3937693:0.8316831683168316; CHEMBL3961600:0.7850467289719626; CHEMBL3902998:0.6696428571428571; CHEMBL3930976:0.6936936936936937; CHEMBL3970996:0.635593220338983; CHEMBL3944874:0.635593220338983; CHEMBL3959922:0.6410256410256411; CHEMBL3932428:0.672566371681416; CHEMBL3954617:0.6875; CHEMBL3951326:0.6386554621848739; CHEMBL3975390:0.6440677966101694; CHEMBL3946054:0.6283185840707964; CHEMBL3961085:0.672566371681416; CHEMBL3986148:0.7924528301886793
CHEMBL3928681,CHEMBL4108131:0.6016949152542372; CHEMBL3912790:0.6016949152542372; CHEMBL3912773:0.7454545454545455; CHEMBL4109299:0.7454545454545455; CHEMBL3942941:0.7924528301886793; CHEMBL3923464:0.7850467289719626; CHEMBL3968022:0.7830188679245284; CHEMBL3938471:0.8095238095238095; CHEMBL4113215:1.0; CHEMBL3922783:0.7363636363636363; CHEMBL4110450:0.7363636363636363; CHEMBL3890471:0.6607142857142857; CHEMBL3950819:0.6065573770491803; CHEMBL3905385:0.6083333333333333; CHEMBL3908670:0.6; CHEMBL3937693:0.6086956521739131
CHEMBL3968022,CHEMBL4106959:0.7476635514018691; CHEMBL3927694:0.7476635514018691; CHEMBL3928681:0.7830188679245284; CHEMBL3942941:0.7314814814814815; CHEMBL3923464:0.7247706422018348; CHEMBL3938471:0.7980769230769231; CHEMBL4113215:0.7830188679245284; CHEMBL3969252:0.7383177570093458; CHEMBL3910487:0.6050420168067226; CHEMBL3972535:0.6068376068376068
CHEMBL3974945,CHEMBL3935468:0.6388888888888888; CHEMBL4107191:0.6388888888888888; CHEMBL3950819:0.6578947368421053; CHEMBL3982917:0.6880733944954128; CHEMBL3937691:0.6785714285714286; CHEMBL3898211:0.6637168141592921; CHEMBL3919899:0.7549019607843137; CHEMBL3903836:0.6410256410256411; CHEMBL3928796:0.7009345794392523; CHEMBL3904320:0.6818181818181818; CHEMBL3932960:0.6296296296296297; CHEMBL3980572:0.7346938775510204; CHEMBL3910487:0.6696428571428571; CHEMBL3904926:0.6696428571428571; CHEMBL3895968:0.6756756756756757; CHEMBL3950885:0.6696428571428571; CHEMBL3924945:0.7333333333333333; CHEMBL3940476:0.7549019607843137; CHEMBL3912486:0.7938144329896907; CHEMBL4111953:0.7358490566037735; CHEMBL3903457:0.7623762376237624; CHEMBL3926047:0.7549019607843137; CHEMBL3897973:0.75; CHEMBL3956685:0.7403846153846154; CHEMBL3910204:0.6936936936936937; CHEMBL3930679:0.7027027027027027; CHEMBL3956386:0.7264150943396226; CHEMBL3934266:0.7; CHEMBL3967469:0.7623762376237624; CHEMBL3943234:0.6964285714285714; CHEMBL3972805:0.6814159292035398; CHEMBL3955374:0.8105263157894737; CHEMBL3980824:0.75; CHEMBL3966518:0.6153846153846154; CHEMBL3895212:0.6875; CHEMBL3955673:0.6037735849056604; CHEMBL3963081:0.6481481481481481; CHEMBL3944288:0.6330275229357798; CHEMBL3947546:0.6052631578947368
CHEMBL3950819,CHEMBL4110994:0.6271186440677966; CHEMBL4108328:0.6302521008403361; CHEMBL4109981:0.6260162601626016; CHEMBL4108048:0.6302521008403361; CHEMBL4108131:0.6495726495726496; CHEMBL4106959:0.6166666666666667; CHEMBL3921770:0.6271186440677966; CHEMBL3904868:0.6302521008403361; CHEMBL3928364:0.6260162601626016; CHEMBL3928874:0.6302521008403361; CHEMBL3912790:0.6495726495726496; CHEMBL3927694:0.6166666666666667; CHEMBL4108064:0.625; CHEMBL3943287:0.625; CHEMBL3912773:0.7981651376146789; CHEMBL4109299:0.7981651376146789; CHEMBL3928681:0.6065573770491803; CHEMBL4113215:0.6065573770491803; CHEMBL3922783:0.6115702479338843; CHEMBL4110450:0.6115702479338843; CHEMBL3890471:0.8095238095238095; CHEMBL3944374:0.6696428571428571; CHEMBL3970478:0.6434782608695652; CHEMBL3945552:0.6347826086956522; CHEMBL3974945:0.6578947368421053; CHEMBL3982917:0.822429906542056; CHEMBL3937691:0.7927927927927928; CHEMBL3898211:0.7456140350877193; CHEMBL3919899:0.6521739130434783; CHEMBL3903836:0.7807017543859649; CHEMBL3928796:0.8380952380952381; CHEMBL3904320:0.8148148148148148; CHEMBL3905385:0.8584905660377359; CHEMBL3976147:0.7232142857142857; CHEMBL3914369:0.6752136752136753; CHEMBL3935853:0.6333333333333333; CHEMBL3954483:0.6666666666666666; CHEMBL3963412:0.7117117117117117; CHEMBL3897339:0.6929824561403509; CHEMBL3980572:0.6759259259259259; CHEMBL3910487:0.7837837837837838; CHEMBL3972535:0.6666666666666666; CHEMBL3904926:0.8; CHEMBL3967237:0.6810344827586207; CHEMBL3895968:0.8240740740740741; CHEMBL3956132:0.7017543859649122; CHEMBL3950885:0.8; CHEMBL3949250:0.6896551724137931; CHEMBL3924945:0.635593220338983; CHEMBL3940476:0.6521739130434783; CHEMBL3912486:0.6818181818181818; CHEMBL4111953:0.625; CHEMBL3903457:0.6578947368421053; CHEMBL3926047:0.6521739130434783; CHEMBL3897973:0.635593220338983; CHEMBL3956685:0.6842105263157895; CHEMBL3910204:0.6048387096774194; CHEMBL3930679:0.6260162601626016; CHEMBL3956386:0.6581196581196581; CHEMBL3934266:0.7068965517241379; CHEMBL3967469:0.6578947368421053; CHEMBL3943234:0.6341463414634146; CHEMBL3972805:0.6890756302521008; CHEMBL3955374:0.6944444444444444; CHEMBL3980824:0.6756756756756757; CHEMBL3895212:0.7857142857142857; CHEMBL3908670:0.6198347107438017; CHEMBL3937693:0.6578947368421053; CHEMBL3961600:0.625; CHEMBL3902998:0.7207207207207207; CHEMBL3930976:0.7142857142857143; CHEMBL3970996:0.6837606837606838; CHEMBL3944874:0.6837606837606838; CHEMBL3959922:0.6896551724137931; CHEMBL3932428:0.7079646017699115; CHEMBL3954617:0.7079646017699115; CHEMBL3951326:0.6722689075630253; CHEMBL3975390:0.6779661016949152; CHEMBL3961085:0.6083333333333333; CHEMBL3986148:0.6302521008403361
CHEMBL3910487,CHEMBL4108131:0.6324786324786325; CHEMBL4106959:0.794392523364486; CHEMBL3912790:0.6324786324786325; CHEMBL3927694:0.794392523364486; CHEMBL3912773:0.6166666666666667; CHEMBL4109299:0.6166666666666667; CHEMBL3968022:0.6050420168067226; CHEMBL3969252:0.6050420168067226; CHEMBL3890471:0.6206896551724138; CHEMBL3944374:0.6086956521739131; CHEMBL3974945:0.6696428571428571; CHEMBL3950819:0.7837837837837838; CHEMBL3982917:0.7545454545454545; CHEMBL3937691:0.7280701754385965; CHEMBL3898211:0.7589285714285714; CHEMBL3919899:0.6637168141592921; CHEMBL3903836:0.7478260869565218; CHEMBL3928796:0.7685185185185185; CHEMBL3904320:0.7477477477477478; CHEMBL3905385:0.6666666666666666; CHEMBL3976147:0.6608695652173913; CHEMBL3914369:0.6166666666666667; CHEMBL3935853:0.6440677966101694; CHEMBL3954483:0.6363636363636364; CHEMBL3963412:0.6491228070175439; CHEMBL3897339:0.6324786324786325; CHEMBL3980572:0.6728971962616822; CHEMBL3972535:0.8557692307692307; CHEMBL3904926:0.7345132743362832; CHEMBL3967237:0.6218487394957983; CHEMBL3895968:0.8055555555555556; CHEMBL3956132:0.6842105263157895; CHEMBL3950885:0.7345132743362832; CHEMBL3949250:0.6302521008403361; CHEMBL3924945:0.646551724137931; CHEMBL3940476:0.6637168141592921; CHEMBL3912486:0.6944444444444444; CHEMBL4111953:0.635593220338983; CHEMBL3903457:0.6696428571428571; CHEMBL3926047:0.6637168141592921; CHEMBL3897973:0.646551724137931; CHEMBL3956685:0.6964285714285714; CHEMBL3910204:0.6147540983606558; CHEMBL3930679:0.6229508196721312; CHEMBL3956386:0.6551724137931034; CHEMBL3934266:0.6752136752136753; CHEMBL3967469:0.6696428571428571; CHEMBL3943234:0.6178861788617886; CHEMBL3972805:0.7008547008547008; CHEMBL3955374:0.7075471698113207; CHEMBL3980824:0.6880733944954128; CHEMBL3895212:0.7217391304347827; CHEMBL3902998:0.6578947368421053; CHEMBL3930976:0.6521739130434783; CHEMBL3970996:0.625; CHEMBL3944874:0.625; CHEMBL3959922:0.6302521008403361; CHEMBL3932428:0.646551724137931; CHEMBL3954617:0.646551724137931; CHEMBL3951326:0.6147540983606558; CHEMBL3975390:0.6198347107438017
CHEMBL3963808,CHEMBL3956685:0.6228070175438597; CHEMBL3979381:0.7714285714285715; CHEMBL3958938:0.6637931034482759; CHEMBL3924432:0.75; CHEMBL3942210:0.6
CHEMBL3949252,CHEMBL4110994:0.6574074074074074; CHEMBL4108328:0.6454545454545455; CHEMBL4109981:0.6120689655172413; CHEMBL4108048:0.6454545454545455; CHEMBL4108131:0.6513761467889908; CHEMBL4106959:0.6454545454545455; CHEMBL3921770:0.6574074074074074; CHEMBL3904868:0.6454545454545455; CHEMBL3928364:0.6120689655172413; CHEMBL3928874:0.6454545454545455; CHEMBL3912790:0.6513761467889908; CHEMBL3927694:0.6454545454545455; CHEMBL4108064:0.6396396396396397; CHEMBL3943287:0.6396396396396397; CHEMBL3912773:0.6339285714285714; CHEMBL4109299:0.6339285714285714; CHEMBL3944374:0.6261682242990654; CHEMBL3940476:0.6090909090909091; CHEMBL3912486:0.638095238095238; CHEMBL3903457:0.660377358490566; CHEMBL3955374:0.6037735849056604; CHEMBL3966518:0.7849462365591398; CHEMBL3955673:0.8260869565217391; CHEMBL3966669:0.7087378640776699; CHEMBL3985905:0.8494623655913979; CHEMBL3975174:0.7835051546391752; CHEMBL4112847:0.7019230769230769; CHEMBL3914687:0.7227722772277227; CHEMBL3924432:0.7087378640776699; CHEMBL3927793:0.7156862745098039; CHEMBL3918999:0.7653061224489796; CHEMBL3946816:0.7755102040816326; CHEMBL3961077:0.7169811320754716; CHEMBL3942210:0.7115384615384616; CHEMBL3905215:0.7653061224489796; CHEMBL3933229:0.6576576576576577; CHEMBL3981870:0.6952380952380952; CHEMBL3920077:0.7307692307692307; CHEMBL3893276:0.7102803738317757; CHEMBL3908670:0.6339285714285714; CHEMBL3937693:0.6761904761904762; CHEMBL3961600:0.6396396396396397; CHEMBL3946054:0.75; CHEMBL3986148:0.6454545454545455
CHEMBL3937693,CHEMBL4110994:0.7238095238095238; CHEMBL4108328:0.8484848484848485; CHEMBL4109981:0.7181818181818181; CHEMBL4108048:0.8484848484848485; CHEMBL4108131:0.7843137254901961; CHEMBL4106959:0.7596153846153846; CHEMBL3921770:0.7238095238095238; CHEMBL3904868:0.8484848484848485; CHEMBL3928364:0.7181818181818181; CHEMBL3928874:0.8484848484848485; CHEMBL3912790:0.7843137254901961; CHEMBL3927694:0.7596153846153846; CHEMBL4108064:0.84; CHEMBL3943287:0.84; CHEMBL3912773:0.8316831683168316; CHEMBL4109299:0.8316831683168316; CHEMBL3928681:0.6086956521739131; CHEMBL3942941:0.6194690265486725; CHEMBL3923464:0.6140350877192983; CHEMBL4113215:0.6086956521739131; CHEMBL3922783:0.6140350877192983; CHEMBL3981375:0.6339285714285714; CHEMBL3952617:0.625; CHEMBL4110450:0.6140350877192983; CHEMBL3890471:0.7378640776699029; CHEMBL3944374:0.9340659340659341; CHEMBL3970478:0.7623762376237624; CHEMBL3945552:0.7524752475247525; CHEMBL3950819:0.6578947368421053; CHEMBL3982917:0.803921568627451; CHEMBL3937691:0.6637168141592921; CHEMBL3928796:0.7009345794392523; CHEMBL3904320:0.6818181818181818; CHEMBL3905385:0.6607142857142857; CHEMBL3976147:0.82; CHEMBL3914369:0.6666666666666666; CHEMBL3963412:0.7047619047619048; CHEMBL3897339:0.6851851851851852; CHEMBL3972535:0.6; CHEMBL3904926:0.6696428571428571; CHEMBL3967237:0.6727272727272727; CHEMBL3895968:0.6173913043478261; CHEMBL3956132:0.6194690265486725; CHEMBL3950885:0.6696428571428571; CHEMBL3949250:0.6818181818181818; CHEMBL3966518:0.7319587628865979; CHEMBL3895212:0.6578947368421053; CHEMBL3955673:0.7171717171717171; CHEMBL3966669:0.6635514018691588; CHEMBL3985905:0.6893203883495146; CHEMBL3975174:0.6826923076923077; CHEMBL3949252:0.6761904761904762; CHEMBL4112847:0.6574074074074074; CHEMBL3914687:0.6761904761904762; CHEMBL3924432:0.6635514018691588; CHEMBL3927793:0.6698113207547169; CHEMBL3918999:0.6826923076923077; CHEMBL3946816:0.6761904761904762; CHEMBL3961077:0.6283185840707964; CHEMBL3942210:0.6513761467889908; CHEMBL3905215:0.6826923076923077; CHEMBL3933229:0.6460176991150443; CHEMBL3981870:0.6822429906542056; CHEMBL3920077:0.6396396396396397; CHEMBL3893276:0.6228070175438597; CHEMBL3908670:0.8316831683168316; CHEMBL3961600:0.84; CHEMBL3902998:0.7307692307692307; CHEMBL3930976:0.8282828282828283; CHEMBL3970996:0.6909090909090909; CHEMBL3944874:0.6909090909090909; CHEMBL3959922:0.6972477064220184; CHEMBL3932428:0.7333333333333333; CHEMBL3954617:0.82; CHEMBL3951326:0.6936936936936937; CHEMBL3975390:0.7; CHEMBL3946054:0.6698113207547169; CHEMBL3961085:0.7169811320754716; CHEMBL3986148:0.8484848484848485
