Original Molecule,Similar Molecules Above Threshold
CHEMBL226610,CHEMBL227752:0.7647058823529411; CHEMBL227751:0.6981132075471698; CHEMBL224096:0.7037037037037037; CHEMBL227495:0.6727272727272727; CHEMBL227576:0.6851851851851852; CHEMBL227521:0.6545454545454545; CHEMBL373663:0.9555555555555556
CHEMBL241967,CHEMBL81260:0.6140350877192983; CHEMBL78621:0.6363636363636364; CHEMBL78012:0.625; CHEMBL387998:0.6140350877192983; CHEMBL394553:0.6140350877192983; CHEMBL71696:0.6428571428571429
CHEMBL245214,CHEMBL241986:0.6388888888888888; CHEMBL244996:0.7162162162162162
CHEMBL243935,NA
CHEMBL244747,NA
CHEMBL242347,CHEMBL243630:0.6615384615384615
CHEMBL398155,CHEMBL328430:0.6; CHEMBL92390:0.8545454545454545; CHEMBL94230:0.6; CHEMBL241917:0.6212121212121212; CHEMBL243838:0.6212121212121212; CHEMBL243630:0.6212121212121212; CHEMBL490083:0.6190476190476191
CHEMBL252969,CHEMBL244995:0.704225352112676; CHEMBL244994:0.6533333333333333; CHEMBL242194:0.647887323943662
CHEMBL252766,CHEMBL78621:0.6140350877192983; CHEMBL78012:0.603448275862069; CHEMBL244995:0.6507936507936508; CHEMBL244994:0.6212121212121212; CHEMBL242194:0.6949152542372882; CHEMBL254850:0.6785714285714286; CHEMBL252765:0.6551724137931034
CHEMBL524651,NA
CHEMBL501127,NA
CHEMBL566723,CHEMBL566709:0.8541666666666666; CHEMBL566296:0.9787234042553191; CHEMBL570606:0.9787234042553191; CHEMBL576655:0.9787234042553191; CHEMBL566917:0.9787234042553191; CHEMBL566711:0.9787234042553191; CHEMBL585301:0.9787234042553191; CHEMBL565658:0.9787234042553191; CHEMBL570608:0.9787234042553191; CHEMBL566752:0.6206896551724138
CHEMBL1774461,CHEMBL2042246:0.6385542168674698; CHEMBL566752:0.6290322580645161; CHEMBL2042124:0.7727272727272727; CHEMBL2042125:0.7727272727272727; CHEMBL2042245:0.7727272727272727; CHEMBL1908919:1.0
CHEMBL570606,CHEMBL566723:0.9787234042553191; CHEMBL566709:0.8367346938775511; CHEMBL566296:1.0; CHEMBL576655:1.0; CHEMBL566917:1.0; CHEMBL566711:1.0; CHEMBL585301:1.0; CHEMBL565658:1.0; CHEMBL570608:1.0; CHEMBL566752:0.6101694915254238
CHEMBL576655,CHEMBL566723:0.9787234042553191; CHEMBL566709:0.8367346938775511; CHEMBL566296:1.0; CHEMBL570606:1.0; CHEMBL566917:1.0; CHEMBL566711:1.0; CHEMBL585301:1.0; CHEMBL565658:1.0; CHEMBL570608:1.0; CHEMBL566752:0.6101694915254238
CHEMBL598083,CHEMBL610505:0.6730769230769231; CHEMBL598288:0.72; CHEMBL598081:0.7058823529411765; CHEMBL610504:0.6923076923076923; CHEMBL598082:0.6666666666666666
CHEMBL8036,NA
